Book,Chapter,Section,Text,Violence
AGESILAUES,2,1,"While he was among the so-called bands of boys who were reared together, he had as his lover Lysander Cf. , who was smitten particularly with his native decorum. For although he was contentious and high-spirited beyond his fellows, wishing to be first in all things, and having a vehemence and fury which none could contend with or overwhelm, on the other hand he had such a readiness to obey and such gentleness, that he did whatever was enjoined upon him, not at all from a sense of fear, but always from a sense of honour, and was more distressed by censure than he was oppressed by hardships.",0
AGESILAUES,2,2,"As for his deformity, the beauty of his person in its youthful prime covered this from sight, while the ease and gaiety with which he bore such a misfortune, being first to jest and joke about himself, went far towards rectifying it. Indeed, his lameness brought his ambition into clearer light, since it led him to decline no hardship and no enterprise whatever. We have no likeness of him (for he himself would not consent to one, and even when he lay dying forbade the making of bands of boys who were reared together, he had as his lover Lysander Cf. , who was smitten particularly with his native decorum. For although he was contentious and high-spirited beyond his fellows, wishing to be first in all things, and having a vehemence and fury which none could contend with or overwhelm, on the other hand he had such a readiness to obey and such gentleness, that he did whatever was enjoined upon him, not at all from a sense of fear, but always from a sense of honour, and was more distressed by censure than he was oppressed by hardships. either statue or picture of his person), but he is said to have been a little man of unimposing presence.",0
AGESILAUES,2,3,"And yet his gaiety and good spirits in every crisis, and his raillery, which was never offensive or harsh either in word or look, made him more lovable, down to his old age, than the young and beautiful. But according to Theophrastus, Archidamus was fined by the ephors for marrying a little woman, For she will bear us, they said, not kings, but kinglets. ",0
AGESILAUES,3,1,"It was during the reign of Agis that Alcibiades came from Sicily as an exile to Sparta, and he had not been long in the city when he incurred the charge of illicit intercourse with Timaea, the wife of the king. The child, too, that was born of her, Agis refused to recognize as his own, declaring that Alcibiades was its father. Duris says that Timaea was not very much disturbed at this, but in whispers to her Helot maids at home actually called the child Alcibiades, not Leotychides;",0
AGESILAUES,3,2,"moreover that Alcibiades himself also declared that he had not approached Timaea out of wanton passion, but because he was ambitious to have the Spartans reigned over by his descendants. Cf. On this account Alcibiades withdrew from Sparta, being in fear of Agis; and the boy was always an object of suspicion to Agis, and was not honoured by him as legitimate. But when the king lay sick, the supplications and tears of Leotychides prevailed upon him to declare him his son in the presence of many witnesses.",0
AGESILAUES,3,3,"Notwithstanding this, after the death of Agis In 398 B.C. , Lysander, who by this time had subdued the Athenians at sea and was a man of the greatest influence in Sparta, tried to advance Agesilaüs to the throne, on the plea that Leotychides was a bastard and had no claim upon it. Many of the other citizens also, owing to the excellence of Agesilaüs and the fact that he had been reared with them under the common restraints of the public training, warmly espoused the plan of Lysander and co-operated with him. But there was a diviner in Sparta, named Diopeithes, who was well supplied with ancient prophecies, and was thought to be eminently wise in religious matters.     Bethink thee now, O Sparta, though thou art very glorious, lest from thee, sound of foot, there spring a maimed royalty; for long will unexpected toils oppress thee, and onward-rolling billows of man-destroying war. maimed royalty. And Agesilaüs declared that Poseidon also had borne witness to the bastardy of Leotychides, for he had cast Agis forth from his bed-chamber by an earthquake, and after this more than ten months elapsed before Leotychides was born. Cf. ",0
AGESILAUES,3,4,"This man declared it contrary to the will of Heaven that a lame man should be king of Sparta, and cited at the trial of the case the following oracle:—     Bethink thee now, O Sparta, though thou art very glorious, lest from thee, sound of foot, there spring a maimed royalty; for long will unexpected toils oppress thee, and onward-rolling billows of man-destroying war. maimed royalty. And Agesilaüs declared that Poseidon also had borne witness to the bastardy of Leotychides, for he had cast Agis forth from his bed-chamber by an earthquake, and after this more than ten months elapsed before Leotychides was born. Cf. ",0
AGESILAUES,3,5,"To this Lysander answered that, in case the Spartans stood in great fear of the oracle, they must be on their guard against Leotychides; for it mattered not to the god that one who halted in his gait should be king, but if one who was not lawfully begotten, nor even a descendant of Heracles, should be king, this was what the god meant by the maimed royalty. And Agesilaüs declared that Poseidon also had borne witness to the bastardy of Leotychides, for he had cast Agis forth from his bed-chamber by an earthquake, and after this more than ten months elapsed before Leotychides was born. Cf. ",0
AGESILAUES,4,1,"In this way, and for these reasons, Agesilaüs was appointed king, and straightway enjoyed possession of the estates of Agis as well as his throne, after expelling Leotychides as a bastard. But seeing that his kinsmen on his mother's side, though worthy folk, were excessively poor, he distributed among them the half of his estates, thereby making his inheritance yield him good-will and reputation instead of envy and hatred. As for Xenophon's statement  that by obeying his country in everything he won very great power, so that he did what he pleased, the case is as follows.",0
AGESILAUES,4,2,"At that time the ephors and the senators had the greatest power in the state, of whom the former hold office for a year only, while the senators enjoy their dignity for life, their offices having been instituted to restrain the power of the kings, as I have said in my Life of Lycurgus.  that by obeying his country in everything he won very great power, so that he did what he pleased, the case is as follows.  Therefore from the outset, and from generation to generation, the kings were traditionally at feud and variance with them.",0
AGESILAUES,4,3,"But Agesilaüs took the opposite course. Instead of colliding and fighting with them, he courted their favour, winning their support before setting out on any undertaking; and whenever he was invited to meet them, hastening to them on the run. If ever the ephors visited him when he was seated in his royal chair and administering justice, he rose in their honour; and as men were from time to time made members of the senate, he would send each one a cloak and an ox as a mark of honour.  that by obeying his country in everything he won very great power, so that he did what he pleased, the case is as follows.  Therefore from the outset, and from generation to generation, the kings were traditionally at feud and variance with them.",0
AGESILAUES,4,4,"Consequently, while he was thought to be honouring and exalting the dignity of their office, he was unawares increasing his own influence and adding to the power of the king a greatness which was conceded out of good-will towards him. ",0
AGESILAUES,5,1,"In his dealings with the rest of the citizens he was less blame-worthy as an enemy than as a friend; for he would not injure his enemies without just cause, but joined his friends even in their unjust practices. And whereas he was ashamed not to honour his enemies when they did well, he could not bring himself to censure his friends when they did amiss, but actually prided himself on aiding them and sharing in their misdeeds. For he thought no aid disgraceful that was given to a friend.",0
AGESILAUES,5,2,"But if, on the other hand, his adversaries stumbled and fell, he was first to sympathize with them and give them zealous aid if they desired it, and so won the hearts and the allegiance of all. The ephors, accordingly, seeing this, and fearing his power, laid a fine upon him, alleging as a reason that he made the citizens his own, who should be the common property of the state. ",0
AGESILAUES,5,3,"Natural philosophers are of the opinion that, if strife and discord should be banished from the universe, the heavenly bodies would stand still, and all generation and motion would cease in consequence of the general harmony. And so the Spartan law-giver seems to have introduced the spirit of ambition and contention into his civil polity as an incentive to virtue, desiring that good citizens should always be somewhat at variance and in conflict with one another, and deeming that complaisance which weakly yields without debate, which knows no effort and no struggle, to be wrongly called concord. frightful words,   if he had not thought the general interests likely to profit by the mutual rivalry and quarrelling of the chieftains. This principle, however, must not be accepted without some reservations; for excessive rivalries are injurious to states, and productive of great perils.",0
AGESILAUES,5,4,"And some think that Homer also was clearly of this mind; for he would not have represented Agamemnon as pleased when Odysseus and Achilles were carried away into abuse of one another with frightful words,   if he had not thought the general interests likely to profit by the mutual rivalry and quarrelling of the chieftains. This principle, however, must not be accepted without some reservations; for excessive rivalries are injurious to states, and productive of great perils.",0
AGESILAUES,6,1,"Agesilaüs had but recently come to the throne, when tidings were brought from Asia that the Persian king was preparing a great armament with which to drive the Lacedaemonians from the sea. Now, Lysander was eager to be sent again into Asia, and to aid his friends there. These he had left governors and masters of the cities, but owing to their unjust and violent conduct of affairs, they were being driven out by the citizens, and even put to death. He therefore persuaded Agesilaüs to undertake the expedition and make war in behalf of Hellas, proceeding to the farthest point across the sea, and thus anticipating the preparations of the Barbarian.",0
AGESILAUES,6,2,"At the same time he wrote to his friends in Asia urging them to send messengers to Sparta and demand Agesilaüs as their commander. Accordingly, Agesilaüs went before the assembly of the people and agreed to undertake the war if they would grant him thirty Spartans as captains and counsellors, a select corps of two thousand enfranchised Helots, and a force of allies amounting to six thousand.",0
AGESILAUES,6,3,"They readily voted everything, owing to the co-operation of Lysander, and sent Agesilaüs forth at once with the thirty Spartans. Of these Lysander was first and foremost, not only because of his own reputation and influence, but also because of the friendship of Agesilaüs, in whose eyes his procuring him this command was a greater boon than his raising him to the throne. ",0
AGESILAUES,6,4,"While his forces were assembling at Geraestus, In the spring of 396 B.C. Agesilaüs himself went to Aulis with his friends and spent the night. As he slept, he thought a voice came to him, saying: King of the Lacedaemonians, thou art surely aware that no one has ever been appointed general of all Hellas together except Agamemnon, in former times, and now thyself, after him. And since thou commandest the same hosts that he did, and wagest war on the same foes, and settest out for the war from the same place, it is meet that thou shouldst sacrifice also to the goddess the sacrifice which he made there before he set sail.  Iphigeneia. Cf. which Agamemnon had there made in obedience to the soothsayers. He was not disturbed, however, but after rising up and imparting his vision to his friends, declared that he would honour the goddess with a sacrifice in which she could fitly take pleasure, being a goddess, and would not imitate the cruel insensibility of his predecessor. So he caused a hind to be wreathed with chaplets, and ordered his own seer to perform the sacrifice, instead of the one customarily appointed to this office by the Boeotians. Cf. Agesilaüs therefore sailed away in great distress of mind; he was not only highly incensed at the Thebans, but also full of ill-boding on account of the omen. He was convinced that his undertakings would be incomplete, and that his expedition would have no fitting issue.",0
AGESILAUES,6,5,"Almost at once Agesilaüs remembered the sacrifice of his own daughter Iphigeneia. Cf. which Agamemnon had there made in obedience to the soothsayers. He was not disturbed, however, but after rising up and imparting his vision to his friends, declared that he would honour the goddess with a sacrifice in which she could fitly take pleasure, being a goddess, and would not imitate the cruel insensibility of his predecessor. So he caused a hind to be wreathed with chaplets, and ordered his own seer to perform the sacrifice, instead of the one customarily appointed to this office by the Boeotians. Cf. Agesilaüs therefore sailed away in great distress of mind; he was not only highly incensed at the Thebans, but also full of ill-boding on account of the omen. He was convinced that his undertakings would be incomplete, and that his expedition would have no fitting issue.",0
AGESILAUES,6,6,"Accordingly, when the Boeotian magistrates heard of this, they were moved to anger, and sent their officers, forbidding Agesilaüs to sacrifice contrary to the laws and customs of the Boeotians. These officers not only delivered their message, but also snatched the thigh-pieces of the victim from the altar. Cf. Agesilaüs therefore sailed away in great distress of mind; he was not only highly incensed at the Thebans, but also full of ill-boding on account of the omen. He was convinced that his undertakings would be incomplete, and that his expedition would have no fitting issue.",0
AGESILAUES,7,1,"As soon as he came to Ephesus, the great dignity and influence which Lysander enjoyed were burdensome and grievous to him. The doors of Lysander were always beset with a throng, and all followed in his train and paid him court, as though Agesilaüs had the command in name and outward appearance, to comply with the law, while in fact Lysander was master of all, had all power, and did everything. Cf. ",0
AGESILAUES,7,2,"In fact, none of the generals sent out to Asia ever had more power or inspired more fear than he; none other conferred greater favours on his friends, or inflicted such great injuries upon his enemies. All this was still fresh in men's minds, and besides, when they saw the simple, plain, and familiar manners of Agesilaüs, while Lysander retained the same Vehemence and harshness, and the same brevity of speech as before, they yielded to the latter's influence altogether, and attached themselves to him alone. Cf. ",0
AGESILAUES,7,3,"As a consequence of this, in the first place, the rest of the Spartans were displeased to find themselves assistants of Lysander rather than counsellors of the king; and, in the second place, Agesilaüs himself:, though he was not an envious man, nor displeased that others should be honoured, but exceedingly ambitious and high-spirited, began to fear that any brilliant success which he might achieve in his undertakings would be attributed to Lysander, owing to popular opinion. He went to work, therefore, in this way. ",0
AGESILAUES,7,4,"To begin with, he resisted the counsels of Lysander, and whatever enterprises were most earnestly favoured by him, these he ignored and neglected, and did other things in their stead; again, of those who came to solicit favours from him, he sent away empty-handed all who put their chief confidence in Lysander; and in judicial cases likewise, all those against whom Lysander inveighed were sure to come off victorious, while, on the contrary, those whom he was manifestly eager to help had hard work even to escape being fined.",0
AGESILAUES,7,5,"These things happened, not casually, but as if of set purpose, and uniformly. At last Lysander perceived the reason, and did not hide it from his friends, but told them it was on his account that they were slighted, and advised them to go and pay their court to the king, and to those more influential with him than himself. ",0
AGESILAUES,8,1,"Accordingly, since his words and acts seemed contrived to bring odium upon the king, Agesilaüs, wishing to despite him still more, appointed him his carver of meats, and once said, we are told, in the hearing of many: Now then, let these suppliants go off to my carver of meats and pay their court to him. ",0
AGESILAUES,8,2,"Lysander, then, deeply pained, said to him: Now then, let these suppliants go off to my carver of meats and pay their court to him.  I see, Agesilaüs, that thou knowest very well how to humble thy friends.  Yes indeed, said the king, those who wish to be more powerful than I am. Then Lysander said: Well, perhaps these words of thine are fairer than my deeds. Give me, however, some post and place where I shall be of service to thee, without vexing thee.  Cf. ",0
AGESILAUES,8,3,"Upon this he was sent to the Hellespont, and brought over to Agesilaüs from the country of Pharnabazus, Spithridates, a Persian, with much money and two hundred horsemen. He did not, however, lay aside his wrath, but continued his resentment, and from this time on planned how he might wrest the kingdom from the two royal families, and make all Spartans once more eligible to it. And it was thought that he would have brought about a great disturbance in consequence of this quarrel, had not death overtaken him on his expedition into Boeotia. Now then, let these suppliants go off to my carver of meats and pay their court to him.  I see, Agesilaüs, that thou knowest very well how to humble thy friends.  Yes indeed, said the king, those who wish to be more powerful than I am. Then Lysander said: Well, perhaps these words of thine are fairer than my deeds. Give me, however, some post and place where I shall be of service to thee, without vexing thee.  Cf.  Cf. ",0
AGESILAUES,8,4,"Thus ambitious natures in a commonwealth, if they do not observe due bounds, work greater harm than good. For even though Lysander was troublesome, as he was, in gratifying his ambition unseasonably, still, Agesilaüs must surely have known another and more blameless way of correcting a man of high repute and ambition when he erred. As it was, it seems to have been due to the same passion that the one would not recognize the authority of his superior, nor the other endure the being ignored by his friend and comrade. ",0
AGESILAUES,9,1,"At first Tisaphernes was afraid of Agesilaüs, and made a treaty in which he promised him to make the Greek cities free and independent of the King. Afterwards, however, when he was convinced that he had a sufficient force, he declared war, and Agesilaüs gladly accepted it.",0
AGESILAUES,9,4,"There were many who chose this course, and so it came to pass that Agesilaüs quickly had a large force of warlike horsemen instead of worthless men-at-arms. Cf. For those who did not wish to do military service hired those who did, and those who did not wish to serve as horsemen hired those who did. Indeed, Agesilaüs thought Agamemnon had done well in accepting a good mare and freeing a cowardly rich man from military service.  ",0
AGESILAUES,9,5,"And once when, by his orders, his prisoners of war were stripped of their clothing and offered for sale by the venders of booty, their clothing found many purchasers, but their naked bodies, which were utterly white and delicate, owing to their effeminate habits, were ridiculed as useless and worthless. Then Agesilaüs, noticing, said: These are the men with whom you fight, and these the things for which you fight. ",0
AGESILAUES,10,1,"When the season again favoured an incursion into the enemy's country, In the spring of 395 B.C.; cf. Agesilaüs gave out that he would march into Lydia, and this time he was not trying to deceive Tisaphernes. That satrap, however, utterly deluded himself, in that he disbelieved Agesilaüs because of his former trick, and thought that now, at any rate, the king would attack Caria, although it was ill-suited for cavalry, and he was far inferior in that arm of the service.",0
AGESILAUES,10,4,"For the King at once sent Tithraustes after him, who cut off his head, and asked Agesilaüs to make terms and sail back home, offering him money at the hands of envoys. But Agesilaüs answered that it was for his city to make peace, and that for his own part, he took more pleasure in enriching his soldiers than in getting rich himself; moreover, the Greeks, he said, thought it honourable to take, not gifts, but spoils, from their enemies. In the spring of 395 B.C.; cf. Agesilaüs gave out that he would march into Lydia, and this time he was not trying to deceive Tisaphernes. That satrap, however, utterly deluded himself, in that he disbelieved Agesilaüs because of his former trick, and thought that now, at any rate, the king would attack Caria, although it was ill-suited for cavalry, and he was far inferior in that arm of the service.",0
AGESILAUES,10,5,"Nevertheless, desiring to gratify Tithraustes, because he had punished Tisaphernes, that common enemy of the Greeks, he led his army back into Phrygia, taking thirty talents from the viceroy to cover the expenses of the march. On the road he received a dispatch-roll from the magistrates at home, which bade him assume control of the navy as well as of the army. Cf. This was an honour which no one ever received but Agesilaüs. And he was confessedly the greatest and most illustrious man of his time, as Theopompus also has somewhere said, although he prided himself more on his virtues than on his high command.",0
AGESILAUES,10,6,"But in putting Peisander in charge of the navy at this time, he was thought to have made a mistake; for there were older and more competent men to be had, and yet he gave the admiralty to him, not out of regard for the public good, but in recognition of the claims of relationship and to gratify his wife, who was a sister of Peisander. ",0
AGESILAUES,11,1,"As for himself, he stationed his army in the province of Pharnabazus In the fall of 395 B.C.; cf. < , where he not only lived in universal plenty, but also accumulated much money. He also advanced to the confines of Paphiagonia and brought Cotys, the king of the Paphlagonians, into alliance with him, for his virtues, and the confidence which he inspired, inclined the king to desire his friendship.",0
AGESILAUES,11,2,"Spithridates also, from the time when he abandoned Pharnabazus and came to Agesilaüs, always accompanied him in his journeys and expeditions. Spithridates had a son, a very beautiful boy, named Megabates, of whom Agesilaüs was ardently enamoured, and a beautiful daughter also, a maiden of marriageable age. This daughter Agesilaüs persuaded Cotys to marry, In the fall of 395 B.C.; cf. < , where he not only lived in universal plenty, but also accumulated much money. He also advanced to the confines of Paphiagonia and brought Cotys, the king of the Paphlagonians, into alliance with him, for his virtues, and the confidence which he inspired, inclined the king to desire his friendship.",0
AGESILAUES,11,4,"Here, however, Herippidas, who had too sharp an eye to the booty that was stolen, and forced the Barbarians to restore it, watching over and enquiring into everything, exasperated Spithridates, so that he marched off at once to Sardis with the Paphlagonians. This is said to have annoyed Agesilaüs beyond all else. For he was pained at the loss of a gallant man in Spithridates, and with him of a considerable force, and was ashamed to labour under the charge of pettiness and illiberality, from which he was always ambitious to keep not only himself, but also his country, pure and free.",0
AGESILAUES,11,5,"And apart from these manifest reasons, he was irritated beyond measure by his love for the boy, which was now instilled into his heart, although when the boy was present he would summon all his resolution and strive mightily to battle against his desires. Indeed, when Megabates once came up and offered to embrace and kiss him, he declined his caresses. It is thy fault, the king's companions said; thou didst not accept, but didst decline the fair one's kiss in fear and trembling; yet even now he might be persuaded to come within range of thy lips; but see that thou dost not again play the coward.  There is no harm in your persuading him; for I think I would more gladly fight that battle of the kiss over again than possess all the gold I have ever seen. Of such a mind was he while Megabates was with him, though when the boy was gone, he was so on fire with love for him that it were hard to say whether, had the boy come back into his presence, he would have had the strength to refuse his kisses. Cf. ",0
AGESILAUES,11,6,"The boy was mortified at this, and desisted, and afterwards kept his distance when addressing him, whereupon Agesilaüs, distressed now and repentant for having avoided his kiss, pretended to wonder what ailed Megabates that he did not greet him with a kiss. It is thy fault, the king's companions said; thou didst not accept, but didst decline the fair one's kiss in fear and trembling; yet even now he might be persuaded to come within range of thy lips; but see that thou dost not again play the coward.  There is no harm in your persuading him; for I think I would more gladly fight that battle of the kiss over again than possess all the gold I have ever seen. Of such a mind was he while Megabates was with him, though when the boy was gone, he was so on fire with love for him that it were hard to say whether, had the boy come back into his presence, he would have had the strength to refuse his kisses. Cf. ",0
AGESILAUES,11,7,"Then, after some time spent in silent reflection, Agesilaüs said: There is no harm in your persuading him; for I think I would more gladly fight that battle of the kiss over again than possess all the gold I have ever seen. Of such a mind was he while Megabates was with him, though when the boy was gone, he was so on fire with love for him that it were hard to say whether, had the boy come back into his presence, he would have had the strength to refuse his kisses. Cf. ",0
AGESILAUES,12,1,"After this, Pharnabazus desired to have a conference with him, and Apollophanes of Cyzicus, who was a guest-friend of both, brought the two together. Agesilaüs, with his friends, came first to the appointed place, and throwing himself down in a shady place where the grass was deep, there awaited Pharnabazus.",0
AGESILAUES,12,2,"And when Pharnabazus came, although soft cushions and broidered rugs had been spread for him, he was ashamed to see Agesilaüs reclining as he was, and threw himself down likewise, without further ceremony, on the grassy ground, although he was clad in raiment of wonderful delicacy and dyes. After mutual salutations, Pharnabazus had plenty of just complaints to make, since, although he had rendered the Lacedaemonians many great services in their war against the Athenians, his territory was now being ravaged by them.",0
AGESILAUES,12,3,"But Agesilaüs, seeing the Spartans with him bowed to the earth with shame and at a loss for words (for they saw that Pharnabazus was a wronged man), said: We, O Pharnabazus, during our former friendship with the King, treated what belongs to him in a friendly way, and now that we have become his enemies, we treat it in a hostile way. Accordingly, seeing that thou also desirest to be one of the King's chattels, we naturally injure him through thee.  As for me, indeed, he said, if the King shall send out another general in my stead, I will be on your side; but if he entrusts me with the command, I will spare no efforts to punish and injure you in his behalf. On hearing this, Agesilaüs was delighted, and said, as he seized his hand and rose up with him, O Pharnabazus, I would that such a man as thou might be our friend rather than our enemy.  Cf. ",0
AGESILAUES,12,4,"But from the day when thou shalt deem thyself worthy to be called a friend and ally of the Greeks instead of a slave of the King, consider this army, these arms and ships, and all of us, to be guardians of thy possessions and of thy liberty, without which nothing in the world is honourable or even worthy to be desired. We, O Pharnabazus, during our former friendship with the King, treated what belongs to him in a friendly way, and now that we have become his enemies, we treat it in a hostile way. Accordingly, seeing that thou also desirest to be one of the King's chattels, we naturally injure him through thee. ",0
AGESILAUES,12,5,"Upon this, Pharnabazus declared to him his purposes. As for me, indeed, he said, if the King shall send out another general in my stead, I will be on your side; but if he entrusts me with the command, I will spare no efforts to punish and injure you in his behalf. On hearing this, Agesilaüs was delighted, and said, as he seized his hand and rose up with him, O Pharnabazus, I would that such a man as thou might be our friend rather than our enemy.  Cf. ",0
AGESILAUES,13,1,"As Pharnabazus and his friends were going away, his son, who was left behind, ran up to Agesilaüs and said with a smile: I make thee my guest-friend, Agesilaüs, and offered him a javelin which he held in his hand. Agesilaüs accepted it, and being delighted with the fair looks and kindly bearing of the boy, looked round upon his companions to see if any one of them had anything that would do for a return-gift to a fair and gallant friend;",0
AGESILAUES,13,2,"and seeing that the horse of Idaeus, his secretary, had a decorated head-gear, he quickly took this off and gave it to the youth. Nor afterwards did he cease to remember him, but when, as time went on, the youth was robbed of his home by his brothers and driven into exile in Peloponnesus, he paid him much attention. He even gave him some assistance in his love affairs. I make thee my guest-friend, Agesilaüs, and offered him a javelin which he held in his hand. Agesilaüs accepted it, and being delighted with the fair looks and kindly bearing of the boy, looked round upon his companions to see if any one of them had anything that would do for a return-gift to a fair and gallant friend;",0
AGESILAUES,13,3,"For the Persian was enamoured of an Athenian boy, an athlete, who, owing to his stature and strength, was in danger of being ruled out of the lists at Olympia. He therefore had recourse to Agesilaüs with entreaties to help the boy, and Agesilaüs, wishing to gratify him in this matter also, with very great difficulty and with much trouble effected his desires. Cf. ",0
AGESILAUES,13,4,"At any rate, there is in circulation a letter of his to Hidrieus the Carian, which runs as follows: As for Nicias, if he is innocent, acquit him; if he is guilty, acquit him for my sake; but in any case acquit him. Such, then, was Agesilaüs in most cases where the interests of his friends were concerned; but sometimes he used a critical situation rather for his own advantage. Of this he gave an instance when, as he was decamping in some haste and confusion, he left his favourite behind him sick. The sick one besought him loudly as he was departing, but he merely turned and said that it was hard to be compassionate and at the same time prudent. This story is related by Hieronymus the philosopher.",0
AGESILAUES,14,1,"Agesilaüs had now been nearly two years in the field, and much was said about him in the interior parts of Asia, and a wonderful opinion of his self-restraint, of his simplicity of life, and of his moderation, everywhere prevailed. For when he made a journey, he would take up his quarters in the most sacred precincts by himself, Cf. thus making the gods overseers and witnesses of those acts which few men are permitted to see us perform; and among so many thousands of soldiers, one could hardly find a meaner couch than that of Agesilaüs;",0
